postal_code,centroid_lat,centroid_lng
03318,38.175355,-0.95943554599995
03319,38.03835874,-0.82412999999997
03320,38.295855,-0.58482518199997
03321,38.07142,-0.92358249499995
03322,38.080655,-0.91444155199997
03325,38.09101,-0.89768999999995
03330,38.24198,-0.81388297199993
03339,38.270790419,-0.82387999999997
03340,38.212357156,-0.89043999999996
03348,38.156165,-0.87212828899993
03349,38.179395,-0.84125642599997
03350,38.143475,-0.89759875499993
03360,38.13206,-0.84953046699997
03369,38.112185,-0.83797469199993
03370,38.121,-0.91374413099993
03380,38.061123702,-0.89806499999997
03390,38.074256302,-0.83193499999993
03400,38.609672217,-0.85814499999998
03408,38.71983,-0.88905465199997
03409,38.60486,-0.93970922099993
03410,38.6429,-0.75188071999997
03420,38.55329,-0.68393544999998
03430,38.63299,-0.66049884999995
03440,38.62455,-0.55779125099997
03450,38.70846,-0.67621034299998
03460,38.700615,-0.77348148699997
03469,38.7088,-0.74566402999994
03500,38.566544327,-0.15211599999998
03501,38.53898713,-0.13051999999993
03502,38.54737,-0.13848462099998
03503,38.54498,-0.093085262999978
03509,38.56912,-0.20335069599997
03510,38.651795,-0.10673383599993
03516,38.635820709,-0.19570499999998
03517,38.676185,-0.26756310699994
03518,38.69824,-0.10342569399995
03520,38.618299537,-0.14912999999996
03530,38.59463745,-0.12554999999998
03540,38.37072815,-0.42094499999996
03550,38.406275,-0.43093322199996
03559,38.38711,-0.44743150299996
03560,38.44959,-0.38617028799996
03569,38.50945032,-0.36243499999995
03570,38.52249,-0.24417675499996
03578,38.57433,-0.33928404399995
03579,38.616889623,-0.28766999999993
03580,38.586215,-0.096687045999943
03581,38.563805,-0.068172741999945
03590,38.602325,-0.064681563999955
03599,38.64029,-0.033732075999978
03600,38.47171,-0.82489829199994
03610,38.49461,-0.71972376599996
03630,38.55089,-0.78640439499998
03638,38.511675,-0.91471448499993
03639,38.579060768,-0.80198999999993
03640,38.429029079,-0.82978999999995
03649,38.433785,-0.91512264399995
03650,38.400977196,-1.0417849999999
03657,38.47264,-1.0974594149999
03658,38.426433552,-1.0135
03659,38.386579661,-1.0666699999999
03660,38.39618,-0.78958998199994
03668,38.342825,-1.009396549
03669,38.35853,-0.90264811799995
03670,38.37986,-0.72882689399995
03679,38.376843948,-0.68645499999997
03680,38.326135,-0.77480053399995
03688,38.3059,-0.89429236999996
03689,38.269693764,-0.94432999999998
03690,38.418542602,-0.53970999999996
03698,38.44803,-0.64954789299998
03699,38.433154532,-0.58610999999996
03700,38.821658064,0.093645000000038
03709,38.828835362,0.062785000000019
03710,38.653255,0.045235210000044
03720,38.69674,0.036853256000029
03723,38.772365,-0.0047661309999398
03724,38.694855,0.12698097400005
03725,38.72183,0.11258118400002
03726,38.721125,0.15583394600003
03727,38.721073667,-0.029234999999971
03728,38.756581444,-0.033404999999959
03729,38.742826704,0.011035000000049
03730,38.787175,0.13867338300003
03737,38.796325,0.11884403500005
